[[-0.0007202130130887323, -0.022938254998003327, 0.0010716272812474103, -0.0005360641375024069, 0.0004217975407331725, 0.00037303928131645134]]	[[0.28630083077524926, 0.36361169387936937, 0.32501937648088963, 2.8975696050108173, -1.212126358804203, 0.002242407090391811]]
[[0.029703649789167775, -0.009002653216149814, 0.001918268762427438, -0.0003552013978890099, 0.00046546100341867183, 0.0005997443397404059]]	[[0.28629144995539685, 0.36362023401080135, 0.32503037375155097, 2.897606519987875, -1.2121008802518187, 0.002222925475290563]]
[[0.002560847347165546, -0.028872277881690906, 0.0225094489003475, -0.001008566864161981, 0.0011001503830979792, 0.0009383401208153503]]	[[0.28629578894292396, 0.36361190621077644, 0.3250226062710555, 2.8975940803223295, -1.2121570030856408, 0.0021663049706174475]]
[[0.008728372471898914, -0.05353299869256263, 0.018854118079804714, -0.0018736118212296453, 0.0013529093076408963, 0.0008913126032433982]]	[[0.2863038188942678, 0.3635825901513197, 0.3250226496607151, 2.897510937556633, -1.2121422737524334, 0.0022067229282010754]]
[[-0.0026885591450700047, -0.07145663131573254, 0.022323959502016103, -0.0023248775894808916, 0.0015517549566212, 0.0009277770900536219]]	[[0.28630252643933646, 0.36360164553723584, 0.3250243273012032, 2.897587640136492, -1.212113137159658, 0.0022420310642300234]]
[[0.0378906369640854, -0.06186516151070954, 0.012106282129851913, -0.002171673550243439, 0.0012164180988123558, 0.0007618679499973469]]	[[0.2863085796887411, 0.36361366477466545, 0.3250302716391444, 2.8975845795507356, -1.212152973407818, 0.0022603521964623583]]
[[0.028450146775324408, -0.06201931233353783, 0.009038803572192751, -0.002162617123565015, 0.0014748856124630523, 0.001422348263891034]]	[[0.28629905207543443, 0.3636136377003954, 0.32503966294553616, 2.897616539980523, -1.212105127984187, 0.0022038698646099936]]
[[0.06988879421492251, -0.028092957348591553, 0.00151165242010327, -0.0017820723110358286, 0.0010339535776488363, 0.0011906391756528391]]	[[0.2863036691316622, 0.36361091549358676, 0.32503319207350934, 2.8975873175581945, -1.2121131961321745, 0.002204658255307764]]
[[0.08467797914958589, -0.029963034819430145, 0.0009086754997072506, -0.0021328497235092265, 0.0007472989662145074, 0.0013745430408178129]]	[[0.2862941230047842, 0.36361716255184096, 0.3250018911286756, 2.8975616362937964, -1.2120210449239315, 0.002282161482656159]]
[[0.11523764436982013, -0.010641964178511376, -0.024823159139281903, -0.0019771146601481045, -6.217255831130906e-05, 0.0011540213461266504]]	[[0.28629899619174537, 0.36361991069398264, 0.3250237607771005, 2.8975829337828047, -1.212091168963284, 0.0021675661290700547]]
[[0.16588509878768537, 0.007598118654808514, -0.04238358116453372, -0.0012332375151597012, -0.001410090995384344, 0.0002281209005217268]]	[[0.2862970547383887, 0.36361684189135796, 0.3250380794810669, 2.897632902241349, -1.2121321887333227, 0.002240405746970823]]
[[0.18404759364935208, 0.006758894737812979, -0.06689663953629209, -0.0013320391364573185, -0.0015759284286653453, 0.0005169546825219888]]	[[0.28630112578833544, 0.36359815018624697, 0.325015769163468, 2.8975663041801543, -1.2121654297725044, 0.0022419585195644505]]
