[[-0.04132510792889609, -0.03580726622859159, 0.039793149338678536, -0.000807982685004592, 0.0009638477626929202, 0.0006304459258900789]]	[[0.28629003872865033, 0.363613439130517, 0.32500199021950704, 2.897540046946802, -1.2120729095546188, 0.0022439899213803835]]
[[-0.09598058210466315, -0.06420445081863521, 0.0639352092350408, -0.001312442131383451, 0.0023042032220756256, 0.0018795622791681528]]	[[0.2863028967772012, 0.36360577164499164, 0.32502349326954777, 2.8975692381896643, -1.2121262182969936, 0.0022237265987360214]]
[[-0.15046721207316838, -0.08248427669694224, 0.07834317167008609, -0.0018131795762806793, 0.0036157827475474533, 0.002721652077332377]]	[[0.2863050338635599, 0.3635968510881747, 0.32502965770205383, 2.8975694711019924, -1.2121871399153346, 0.002222948717745852]]
[[-0.1346957184604807, -0.046075578360231795, 0.09921280711948198, -0.0008722640677777036, 0.003248267759013301, 0.003299002898451955]]	[[0.2863057285187034, 0.36360965763987535, 0.32500635826224245, 2.8975252800570144, -1.212107813560337, 0.002243995193666755]]
[[-0.18563737080222792, -0.05287471268520441, 0.10201769840021485, -0.000758143463600694, 0.004342734605802444, 0.004148693412814719]]	[[0.2862993930111075, 0.36360808320961324, 0.3250299911086706, 2.8975917127484796, -1.2121355873315747, 0.002241652864892543]]
[[-0.15235951285943933, -0.0738887110571652, 0.10577973530061302, -0.001741900224084988, 0.003592438939939088, 0.004158409987266898]]	[[0.2863047237583551, 0.36360715302884583, 0.3250181627972703, 2.897551161638821, -1.2121389251306656, 0.0022428285773777893]]
[[-0.13208462487653705, -0.02912423429903411, 0.10188099686344702, -0.0004480520540553407, 0.0032095378295404313, 0.0038755445334646512]]	[[0.2862958988683905, 0.3636075950569288, 0.32502021381071866, 2.8975929483884433, -1.2120957320275787, 0.0021102155732677726]]
[[-0.14425243273670113, -0.03257754398527511, 0.10075351546901798, -0.0004533090648427111, 0.0027824518632942772, 0.00415434892215185]]	[[0.28630469562043415, 0.363602433224808, 0.32502022665494124, 2.8975722900770804, -1.2121478318135461, 0.0021858369383506502]]
[[-0.15513641203005282, -0.057848450213829644, 0.09811196984834727, -0.0012178877724827286, 0.003314161022757136, 0.004137973939112177]]	[[0.28629804881984133, 0.36360000202015513, 0.3250284375457645, 2.8975577767688, -1.2121823046652358, 0.002185956851467315]]
[[-0.17902208278582288, -0.09398475480849579, 0.11958058988129376, -0.002333277584217436, 0.003932230209465306, 0.004401447814431115]]	[[0.28629899746640675, 0.36361031737381394, 0.32500558034633253, 2.8975729583896643, -1.2120867451240331, 0.0022239777753979896]]
[[-0.17977158968532664, -0.09907413427658952, 0.12968834701391, -0.0026010869116867823, 0.003737221021513804, 0.004199499580973154]]	[[0.2862820575396245, 0.36361410726982984, 0.3250125982424363, 2.8975688875836294, -1.212064730366383, 0.0022058094536227904]]
[[-0.18688035750181584, -0.09735674990657178, 0.12913815717201207, -0.003263023307629955, 0.004404439590285423, 0.004374003012617674]]	[[0.2862982324767267, 0.3636147887479412, 0.3250140858498287, 2.897579508338504, -1.2120697353441392, 0.0021866128832872993]]
[[-0.1681491986448397, -0.07028159244178575, 0.11963056515462125, -0.0038041093986190184, 0.0039955640311137835, 0.004909553665581687]]	[[0.286299215944203, 0.36361088416287335, 0.3250321045372904, 2.8975993847867834, -1.212179440840441, 0.0022220913389964297]]
[[-0.1951030713236373, -0.07364643540037635, 0.1230535172794744, -0.00490420647474835, 0.0052000692675292426, 0.004836636067159051]]	[[0.2862931266233915, 0.3636165637800752, 0.32500942747139344, 2.8975730301962908, -1.2120868778795952, 0.002186569804534229]]
[[-0.2035541803173953, -0.09617782329393665, 0.11130203896531729, -0.006159192898245411, 0.005854321484017588, 0.004971463417940699]]	[[0.2863153545271761, 0.36360033889113064, 0.32501038134935106, 2.8975469858048952, -1.2121782693027234, 0.00218613715333169]]
