[[0.18319190893098167, 0.05410339634728093, -0.008041346467309585, -0.002845324966359511, -0.010316459250937698, 0.023569887064106485]]	[[0.1001967323017325, -0.5002688324565352, 0.26502422877923837, -1.209158115581088, 2.8992627799642188, 0.0006119570749161571]]
[[-0.15354647725575366, 0.09882331850611553, 0.022929961702955977, -0.00216758425510476, -0.001106618570206506, 0.022408878212778812]]	[[0.10019736018144704, -0.5002571919168725, 0.26495711385136184, -1.2093308312319302, 2.899254331854686, 0.0007661844241883617]]
[[-0.09027815885937325, 0.12923037728003267, -0.002000932686296883, -0.004512849240496386, -0.00522389989963359, 0.021151603423248126]]	[[0.10018394729885909, -0.5002773918179022, 0.26498100479989833, -1.2092324291333123, 2.8992629978545152, 0.0006270909342558626]]
[[-0.14131094794576313, 0.06978990427675091, -0.0742061552265198, -0.005467973840230229, 0.0008660287916383527, 0.02082106224404824]]	[[0.10017937845536128, -0.500281266751877, 0.2649458345819353, -1.2092737837608367, 2.8993226444515097, 0.0006489526508051778]]
[[-0.050645310682618516, 0.12921797770262297, -0.12074425303657704, 0.001872341925199513, -0.0034580695834690394, 0.021490993842772265]]	[[0.10018029195238838, -0.5002750072400096, 0.26492087358175564, -1.2092358095478206, 2.899273959578625, 0.0006885144886120065]]
[[0.08675302309584508, -0.09612177514165489, -0.06676652869329253, 0.0012883918264770255, -0.006649425124030144, 0.02166722205754158]]	[[0.10019481044444475, -0.500254251112764, 0.26484595575335274, -1.209227072763829, 2.899240877133978, 0.0008736744702493895]]
[[0.05895764917708753, -0.05910842436291498, -0.07005531041480086, -0.007020264586384736, -0.006734505444443481, 0.023732687106791283]]	[[0.10016364319141854, -0.5002630311291876, 0.2648435193562353, -1.209162755747016, 2.899309822356238, 0.0008093135163932272]]
[[-0.02343401843793241, 0.042257879119693496, -0.07465033574529606, -0.0037013221618083787, -0.002379485974587144, 0.02486965367856978]]	[[0.10017104508650097, -0.5002526905313964, 0.2648079060750618, -1.2091860859503274, 2.8992388348391964, 0.0008779636602850306]]
[[0.08782248237152165, -0.0956619644537353, -0.2529171555074084, -0.004264622211342126, 0.0002755596206138707, 0.02339762645157044]]	[[0.10018132897922691, -0.5002595783827061, 0.26480219121827386, -1.2091911953608037, 2.8992437499439423, 0.0007259399350473259]]
[[0.07948174501877858, -0.13449664140731585, -0.16359433628018302, 0.0030020839660025813, -0.0002027396581482218, 0.02437948336032591]]	[[0.10017000495847206, -0.5002719677828481, 0.2647875488059677, -1.2091497266139495, 2.8992586592590257, 0.0007096499420627487]]
[[0.17299687873287029, -0.21429592640884154, -0.13449888464243456, 0.003826088232728048, -0.006494630051396421, 0.027643953114179533]]	[[0.10017473730697918, -0.5002653443732863, 0.264755017868257, -1.2092854537542832, 2.899303540696876, 0.0007531829750701619]]
[[0.22334841173530887, -0.029664786675699446, -0.0004577830031136171, 0.004089600778458471, -0.0073539569431161755, 0.018792321319924275]]	[[0.10017446281822934, -0.5002589196010733, 0.26470237275225694, -1.2091843650532677, 2.899279386170996, 0.0007433375738326844]]
[[0.12023333550590992, -0.2125664337540699, -0.08332448860871462, -0.0016689992744871704, -0.00032713913547184224, 0.02047739341857519]]	[[0.10017446281822934, -0.5002589196010733, 0.26470237275225694, -1.2091843650532677, 2.899279386170996, 0.0007433375738326844]]
[[0.0837909526584213, -0.019645982959593185, -0.14926118010076772, -0.003555417065681588, -0.002805978803017774, 0.020728764561927644]]	[[0.1001789741437582, -0.500253403402091, 0.26467287046134597, -1.2091580873315446, 2.8992498847387833, 0.0006760292108382224]]
[[0.21479419089763582, 0.15007186802211472, 0.03214366669889165, 0.0016318832759774828, -0.010647722379772875, 0.018785125796724884]]	[[0.1001789741437582, -0.500253403402091, 0.26467287046134597, -1.2091580873315446, 2.8992498847387833, 0.0006760292108382224]]
[[-0.022786126792131302, -0.13879736545594312, -0.048998550167195454, -0.004419195146119527, -0.005911382308708888, 0.019980594474892057]]	[[0.10018381916114731, -0.500245666722769, 0.2645806212101861, -1.2091992371776954, 2.8992638690955412, 0.0008304866143678075]]
[[-0.07510257237766182, -0.10370285847329477, -0.18466631794293295, -0.003027539744995206, -0.005477129214766677, 0.023648679134590823]]	[[0.10018381916114731, -0.500245666722769, 0.2645806212101861, -1.2091992371776954, 2.8992638690955412, 0.0008304866143678075]]
[[0.015845407656609158, -0.16967011226018758, -0.16484921156044074, -0.006670720267443089, -0.0028888954777633626, 0.019338305823488833]]	[[0.10019247720494245, -0.5002755150358014, 0.2645684044175645, -1.2092011185321117, 2.8992785959913436, 0.0006773892409433566]]
[[0.0925145152377964, -0.04045721490005421, -0.2545999790267792, -0.0047178665803592895, -0.006670433463812373, 0.022513276909144436]]	[[0.10019247720494245, -0.5002755150358014, 0.2645684044175645, -1.2092011185321117, 2.8992785959913436, 0.0006773892409433566]]
[[0.06994378018395109, -0.03173415031850391, -0.2754961853237756, -0.006716561991414688, -0.002425946503183474, 0.020352234049099173]]	[[0.1002037707837486, -0.5002681038610003, 0.2645397598422418, -1.2092153950415472, 2.899246464139782, 0.0007449283364349392]]
[[0.09799523606033696, 0.09173347771344134, -0.21743268459266593, -0.0042944350281090594, -0.003304618394969832, 0.019798383597856684]]	[[0.10015427667964975, -0.5002655895463122, 0.2644805242880657, -1.2091697486026154, 2.899302789810672, 0.0007535069550619875]]
[[-0.08084933047035275, -0.03879566225292517, -0.3283217497552113, -0.010456076837978804, -0.0027680660431629945, 0.019348101581270306]]	[[0.10015427667964975, -0.5002655895463122, 0.2644805242880657, -1.2091697486026154, 2.899302789810672, 0.0007535069550619875]]
[[-0.05755209373910078, 0.18790333525943453, -0.14896568959154582, -0.0014795108321891209, -0.004462857251530538, 0.020687289636154082]]	[[0.1001839786220104, -0.5002648039807266, 0.2644844370334428, -1.2092136693506355, 2.899288802245868, 0.0006717990081176592]]
[[0.02158835677140485, 0.2107227046881368, -0.22273923415869537, 0.0008214365215211331, -0.003792743863610235, 0.022359873183468593]]	[[0.10014104030969442, -0.5002659302758439, 0.26438902855018975, -1.2091042746923495, 2.899385249394443, 0.0008132040095016743]]
[[-0.04994075968450097, -0.1794252775327475, -0.2157177177630342, -0.006445891918895771, -0.000872317483405843, 0.018038693542379393]]	[[0.10014104030969442, -0.5002659302758439, 0.26438902855018975, -1.2091042746923495, 2.899385249394443, 0.0008132040095016743]]
[[0.15463539457459155, -0.009482121826815898, -0.1845019534927357, 0.007092356747372522, -0.005238759000402574, 0.023877045202804262]]	[[0.1001796990168058, -0.5002802811061932, 0.26437791399486144, -1.2091432158509792, 2.899255358480074, 0.000685665872785355]]
[[0.26858688222550225, -0.11513994926081969, -0.11445819042750645, -0.0009714014671378723, -0.010624955152005433, 0.02301149063334284]]	[[0.1001796990168058, -0.5002802811061932, 0.26437791399486144, -1.2091432158509792, 2.899255358480074, 0.000685665872785355]]
[[0.004580004236940476, 0.17203329581059895, 0.04048207204340441, -0.002260890796456724, -0.005343585200534162, 0.02405234487394537]]	[[0.1001832839636995, -0.500257459049359, 0.26430101709223913, -1.2091704859162289, 2.8992866371304298, 0.0008083285024294915]]
[[0.11971815213969833, 0.18280681882067004, 0.11072945777025767, -0.008323685600848462, -0.01328736294068361, 0.02093018030336121]]	[[0.10017568035036262, -0.5002556880306104, 0.2642746636034281, -1.2091868037866598, 2.8992373715252375, 0.0008029328205032612]]
[[0.07899591098278602, 0.03543204809557409, 0.05309119258049685, -0.00826527616051385, -0.00474881337107652, 0.018009816778962448]]	[[0.1001675155159674, -0.5002757491319362, 0.26424679710962745, -1.209162600097322, 2.899318653043541, 0.0007717323431861362]]
[[0.0972534733375754, -0.26682672325194123, 0.11622703964342707, -0.0019153805384956122, -0.003536840363007515, 0.021345657149034136]]	[[0.10019223059375135, -0.500258623714314, 0.2642162808551989, -1.2092358615165428, 2.8992385827334672, 0.0007868010317412941]]
[[0.1683536123723685, -0.33911226085664636, 0.06422729748631863, -0.00012447314957435553, 0.0008852783216984335, 0.024980991815761168]]	[[0.10019223059375135, -0.500258623714314, 0.2642162808551989, -1.2092358615165428, 2.8992385827334672, 0.0007868010317412941]]
[[0.045935494443047266, -0.2353909900441756, 0.148003993750102, -0.0022246095701833743, -0.004414217813675861, 0.02172225556874994]]	[[0.10016612302690289, -0.5002782573756978, 0.2642098139055214, -1.2091937802467576, 2.8992515212581647, 0.0006901604219316046]]
[[0.15480819215858574, -0.10743967211105698, 0.035435216077174224, -0.0001835156050185916, -0.005561459482305343, 0.0229345892274834]]	[[0.10014304245267276, -0.5002863188955698, 0.26414823064535187, -1.2090986872357719, 2.899326029363021, 0.0007479357452697512]]
[[0.20256473524990162, 0.23141340695876594, 0.055788958481050456, -0.0016582924763923151, -0.008093079637145142, 0.02383728762765214]]	[[0.10018070744102191, -0.5002604648918937, 0.2641396651629694, -1.2092269263351607, 2.8992834862507286, 0.0008099442448271891]]
[[0.11804405608656722, 0.06204159974947081, 0.03130791619238018, -0.004330816096747959, -0.004061114385055566, 0.019462927230959756]]	[[0.10016914553780856, -0.5002764293152066, 0.26413602027749705, -1.2091478106527564, 2.8992678794984608, 0.0007052249384984836]]
[[0.033422162065585695, 0.022448235999929036, -0.05418474497977325, -0.007732197062937704, -0.006843100275391698, 0.01973822971522231]]	[[0.10014607312756654, -0.5002723671327272, 0.2641227849864326, -1.2091946647914618, 2.899254996464992, 0.0006752756528701674]]
[[0.27610799527785784, 0.031799378690447924, -0.020929098684426675, -0.0019992826942420066, -0.008598568433754682, 0.02384804824289452]]	[[0.10016867807100811, -0.5002880010909316, 0.26405975830121475, -1.2092199844299867, 2.8993112226637003, 0.0007617174752309882]]
[[0.22739393441395245, 0.19558540599388918, -0.08158881225880246, 0.002935798529413897, -0.011533353632260898, 0.021327291781409543]]	[[0.10018463041784322, -0.5002613677353742, 0.2640671546711243, -1.2091966869857287, 2.899287907135777, 0.0007112453198948016]]
[[0.21166818192392076, 0.09724211791876665, 0.03429691779831138, -0.0036507115130421375, -0.008091135365049164, 0.020923908037122605]]	[[0.10016816123180941, -0.5002747664366688, 0.2640352364614724, -1.2092406494957069, 2.8992603714717458, 0.0007252526436058466]]
[[0.07737319596450665, -0.15851925057740487, -0.03164716608831728, -0.008393985775697353, -0.005530751732459932, 0.020446068678348313]]	[[0.10019418845803668, -0.5002915607989954, 0.2640397963984442, -1.2091798296993554, 2.8992499955227515, 0.0006172923198646809]]
