[[-0.2153529146115582, -0.11093639720015414, 0.10510252859454422, 0.00466681061656116, 0.010975491901232292, -0.08717336622387327]]	[[0.10091407137342347, -0.49947155902705825, 0.26460469168526124, 1.2113030452118474, -2.8979497678088117, -1.5334562184679508e-05]]
[[-0.19843595158603256, -0.2097911040058102, 0.11866020494478531, 0.0047190847001326326, 0.012928595651143949, -0.08264730633443709]]	[[0.10091919137690473, -0.4994946625317214, 0.2645867680355719, 1.2111991218917055, -2.8979916268723027, 4.945295750210756e-05]]
[[-0.24656758802136805, -0.12941963749431631, 0.037245455100782664, 0.0012808830483928186, 0.011627134816651664, -0.08151991119954032]]	[[0.10091019533900253, -0.4994692271045631, 0.2645365630643899, 1.2112480880963945, -2.8980250555040588, -0.00013013225996438255]]
[[-0.22161112865692462, -0.03698751841769475, 0.052721530613500024, -0.009901907908343327, 0.003590653721140876, -0.08568453133273346]]	[[0.1009146875570987, -0.4994823438461774, 0.26451797469733385, 1.2112433846843225, -2.8979994111152667, -7.086994411864294e-05]]
[[-0.11031665784118215, 0.13403712045319563, -0.0015211496986363997, -0.00924688503924049, 0.0007219626949195682, -0.08355821435456702]]	[[0.10091234689163417, -0.4994922013641587, 0.264484827503556, 1.211196100016552, -2.898098981999551, -7.570174110599669e-05]]
[[-0.2548640241886309, -0.08923539451333193, 0.052193212118167125, -0.008771744168928832, 0.007966907962671316, -0.08443917263990847]]	[[0.10089265632926307, -0.4994727886083951, 0.2644645715242497, 1.2112679973623168, -2.8980254661105733, -5.2747231035360576e-05]]
[[-0.3719612636708129, -0.2541227819161103, 0.0566607946150658, -0.0029056336363584437, 0.01368066690266659, -0.0837646620927928]]	[[0.10088739350763488, -0.4994797128216604, 0.2644597065848875, 1.2112136169599217, -2.8979804514542042, -2.631813578862491e-06]]
[[-0.05321576044914536, -0.27012969145353205, -0.00676678392460039, -0.004260414426268413, 0.00698809308039704, -0.08374031375691757]]	[[0.10092966800815843, -0.49948095928619346, 0.26440477558317654, 1.2113262185264537, -2.897994900501387, -0.00011617123914715622]]
[[-0.30943373210336284, -0.27633561811976104, 0.13374125392434777, -0.00898239213851241, 0.006250632653430026, -0.08450819631293587]]	[[0.10093003143652164, -0.49946710701479036, 0.26438843994941563, 1.2113520809576785, -2.8979881436460846, -0.00010362571718793974]]
[[-0.08818111693417004, -0.08515214688129612, -0.059652578673865704, -0.01058157131889655, 0.0013524315914434134, -0.08392027821742797]]	[[0.10091777094555528, -0.4994745519717176, 0.2643372402445644, 1.2113201317115527, -2.8979968678800043, -0.00022933769141730877]]
[[-0.05630967927339771, -0.05572446201649136, -0.019539194258852373, -0.010464571371506626, 0.0030522411861375444, -0.08950565692554552]]	[[0.10092053926991927, -0.4994633206791912, 0.26433529694180063, 1.2113341158119657, -2.8979809528939704, -0.00014395812199620314]]
[[-0.19754267710094991, -0.06386846472682346, 0.10772168571296821, -0.008191354540263185, 0.008117739706444176, -0.08911984951197593]]	[[0.10092344588285071, -0.499474051414642, 0.2643078595065417, 1.2112392090828257, -2.898018836625993, -8.702845103681442e-05]]
