[-151.97551]	[0.002]
[-33.841812]	[0.004]
[-28.368683]	[0.006]
[-31.223608]	[0.008]
[-30.874447]	[0.01]
[-25.079353]	[0.012]
[-27.87485]	[0.014]
[-38.14682]	[0.016]
[-36.516636]	[0.018000000000000002]
[-26.029942]	[0.020000000000000004]
[-26.552452]	[0.022000000000000006]
[-30.628584]	[0.024000000000000007]
[-33.217728]	[0.02600000000000001]
[-39.25186]	[0.02800000000000001]
[-39.37671]	[0.030000000000000013]
[-28.755205]	[0.032000000000000015]
[-32.503544]	[0.034000000000000016]
[-31.126749]	[0.03600000000000002]
[-39.018787]	[0.03800000000000002]
[-33.420258]	[0.04000000000000002]
[-30.73829]	[0.04200000000000002]
[-28.524263]	[0.044000000000000025]
[-33.06412]	[0.04600000000000003]
[-33.06062]	[0.04800000000000003]
[-36.84215]	[0.05000000000000003]
[-36.663933]	[0.05200000000000003]
[-25.945072]	[0.054000000000000034]
[-37.495506]	[0.056000000000000036]
[-27.235035]	[0.05800000000000004]
[-33.877655]	[0.06000000000000004]
[-32.919617]	[0.06200000000000004]
[-39.928745]	[0.06400000000000004]
[-30.227116]	[0.06600000000000004]
[-26.440735]	[0.06800000000000005]
[-42.00688]	[0.07000000000000005]
[-31.536486]	[0.07200000000000005]
[-39.811523]	[0.07400000000000005]
[-40.76716]	[0.07600000000000005]
[-34.44586]	[0.07800000000000006]
[-31.583584]	[0.08000000000000006]
[-26.828789]	[0.08200000000000006]
[-24.154768]	[0.08400000000000006]
[-41.0919]	[0.08600000000000006]
[55.317753]	[0.08800000000000006]
[-32.628174]	[0.09000000000000007]
[52.916214]	[0.09200000000000007]
[-26.627237]	[0.09400000000000007]
[-30.152287]	[0.09600000000000007]
[-39.397415]	[0.09800000000000007]
[50.05409]	[0.10000000000000007]
[-22.724558]	[0.10200000000000008]
[-28.177387]	[0.10400000000000008]
[-27.783049]	[0.10600000000000008]
[49.61715]	[0.10800000000000008]
[-32.134186]	[0.11000000000000008]
[50.166008]	[0.11200000000000009]
[-29.967186]	[0.11400000000000009]
[-31.621542]	[0.11600000000000009]
[-37.041687]	[0.11800000000000009]
[51.061417]	[0.12000000000000009]
[-30.623842]	[0.1220000000000001]
[52.952343]	[0.1240000000000001]
[52.39948]	[0.12600000000000008]
[53.763565]	[0.12800000000000009]
[47.759617]	[0.1300000000000001]
[48.2945]	[0.1320000000000001]
[-27.582737]	[0.1340000000000001]
[41.18833]	[0.1360000000000001]
[-34.927677]	[0.1380000000000001]
[48.287064]	[0.1400000000000001]
[-19.408318]	[0.1420000000000001]
[-28.895302]	[0.1440000000000001]
[-26.10155]	[0.1460000000000001]
[51.085136]	[0.1480000000000001]
[-29.835436]	[0.1500000000000001]
[50.705322]	[0.1520000000000001]
[-35.501793]	[0.1540000000000001]
[43.83514]	[0.1560000000000001]
[-29.36444]	[0.1580000000000001]
[-19.468985]	[0.16000000000000011]
[49.431145]	[0.16200000000000012]
[-30.002539]	[0.16400000000000012]
[-27.458454]	[0.16600000000000012]
[-48.141075]	[0.16800000000000012]
[40.795067]	[0.17000000000000012]
[50.838802]	[0.17200000000000013]
[-31.557383]	[0.17400000000000013]
[-29.991516]	[0.17600000000000013]
[41.003826]	[0.17800000000000013]
[-28.379805]	[0.18000000000000013]
[54.015884]	[0.18200000000000013]
[-30.062008]	[0.18400000000000014]
[-30.076797]	[0.18600000000000014]
[-47.10554]	[0.18800000000000014]
[41.426716]	[0.19000000000000014]
[-35.045856]	[0.19200000000000014]
[45.969757]	[0.19400000000000014]
[-24.51044]	[0.19600000000000015]
[38.6465]	[0.19800000000000015]
[-28.869984]	[0.20000000000000015]
[46.966377]	[0.20200000000000015]
[-43.79746]	[0.20400000000000015]
[38.249374]	[0.20600000000000016]
[-46.05755]	[0.20800000000000016]
[45.39853]	[0.21000000000000016]
[-27.516722]	[0.21200000000000016]
