[0.02957688331604004]	[0.001]
[0.030067553520202638]	[0.002]
[0.03005375862121582]	[0.003]
[0.030053396224975586]	[0.004]
[0.030053040981292724]	[0.005]
[0.030052974224090576]	[0.006]
[0.030050878524780274]	[0.007]
[0.030050778388977052]	[0.008]
[0.030050721168518067]	[0.009000000000000001]
[0.030050666332244874]	[0.010000000000000002]
[0.030050585269927977]	[0.011000000000000003]
[0.03005049467086792]	[0.012000000000000004]
[0.030050442218780518]	[0.013000000000000005]
[0.03005037784576416]	[0.014000000000000005]
[0.03005031108856201]	[0.015000000000000006]
[0.03005021095275879]	[0.016000000000000007]
[0.03005011558532715]	[0.017000000000000008]
[0.030050015449523924]	[0.01800000000000001]
[0.030049941539764403]	[0.01900000000000001]
[0.030047788619995117]	[0.02000000000000001]
[0.030047731399536134]	[0.02100000000000001]
[0.03004762649536133]	[0.022000000000000013]
[0.030048627853393555]	[0.023000000000000013]
[0.030048532485961912]	[0.024000000000000014]
[0.029595401287078858]	[0.025000000000000015]
[0.03005150079727173]	[0.026000000000000016]
[0.030048375129699708]	[0.027000000000000017]
[0.029603745937347412]	[0.028000000000000018]
[0.030051369667053223]	[0.02900000000000002]
[0.030047521591186524]	[0.03000000000000002]
[0.030047421455383302]	[0.03100000000000002]
[0.029609522819519042]	[0.03200000000000002]
[0.03004908561706543]	[0.03300000000000002]
[0.03004746437072754]	[0.03400000000000002]
[0.029609591960906984]	[0.035000000000000024]
[0.03004894733428955]	[0.036000000000000025]
[0.030047376155853272]	[0.037000000000000026]
[0.030047266483306884]	[0.03800000000000003]
[0.02961456298828125]	[0.03900000000000003]
[0.030048699378967286]	[0.04000000000000003]
[0.0300471568107605]	[0.04100000000000003]
[0.029618682861328124]	[0.04200000000000003]
[0.03004857063293457]	[0.04300000000000003]
[0.030047004222869874]	[0.04400000000000003]
[0.03004690647125244]	[0.04500000000000003]
[0.02962074041366577]	[0.046000000000000034]
[0.03004946231842041]	[0.047000000000000035]
[0.030046782493591308]	[0.048000000000000036]
[0.02962042808532715]	[0.04900000000000004]
[0.030048537254333495]	[0.05000000000000004]
[0.030046329498291016]	[0.05100000000000004]
[0.03004621505737305]	[0.05200000000000004]
[0.029623782634735106]	[0.05300000000000004]
[0.03004828929901123]	[0.05400000000000004]
[0.030046083927154542]	[0.05500000000000004]
[0.02962548017501831]	[0.05600000000000004]
[0.03004835844039917]	[0.057000000000000044]
[0.030045928955078124]	[0.058000000000000045]
[0.030045840740203857]	[0.059000000000000045]
[0.029628679752349854]	[0.060000000000000046]
[0.030048103332519532]	[0.06100000000000005]
[0.030044937133789064]	[0.06200000000000005]
[0.029632208347320558]	[0.06300000000000004]
[0.030045900344848633]	[0.06400000000000004]
[0.030044844150543214]	[0.06500000000000004]
[0.029633820056915283]	[0.06600000000000004]
[0.030045778751373292]	[0.06700000000000005]
[0.030044660568237305]	[0.06800000000000005]
[0.030044589042663574]	[0.06900000000000005]
[0.029632043838500977]	[0.07000000000000005]
[0.030045320987701418]	[0.07100000000000005]
[0.030044319629669188]	[0.07200000000000005]
[0.029641146659851073]	[0.07300000000000005]
[0.030045185089111328]	[0.07400000000000005]
[0.03004420280456543]	[0.07500000000000005]
[0.030044069290161134]	[0.07600000000000005]
[0.029638152122497558]	[0.07700000000000005]
[0.03004488945007324]	[0.07800000000000006]
[0.03004619836807251]	[0.07900000000000006]
[0.029644715785980224]	[0.08000000000000006]
[0.030044753551483155]	[0.08100000000000006]
[0.03004605770111084]	[0.08200000000000006]
[0.030045914649963378]	[0.08300000000000006]
[0.029643938541412354]	[0.08400000000000006]
[0.030044543743133544]	[0.08500000000000006]
[0.030045804977416993]	[0.08600000000000006]
[0.029645256996154785]	[0.08700000000000006]
[0.030044395923614502]	[0.08800000000000006]
[0.030045645236968996]	[0.08900000000000007]
[0.030045526027679445]	[0.09000000000000007]
[0.029646966457366943]	[0.09100000000000007]
[0.030044004917144776]	[0.09200000000000007]
[0.030045862197875976]	[0.09300000000000007]
[0.029652562141418457]	[0.09400000000000007]
[0.030043857097625734]	[0.09500000000000007]
[0.030045733451843262]	[0.09600000000000007]
[0.029650509357452393]	[0.09700000000000007]
[0.0300437068939209]	[0.09800000000000007]
[0.030045580863952637]	[0.09900000000000007]
[0.03004545211791992]	[0.10000000000000007]
[0.029649150371551514]	[0.10100000000000008]
[0.030043506622314455]	[0.10200000000000008]
[0.030045161247253416]	[0.10300000000000008]
[0.029658617973327635]	[0.10400000000000008]
