[[-0.45539146782934486, -0.43428625697412027, 0.053841850358746196, -0.013488925307275853, 0.007135970586295115, 0.007164175287067557]]	[[0.07281919447132076, -0.5708380179453115, 0.28496902044051065, -1.2090165903434407, 2.899598069240936, 0.00010260484104753025]]
[[-0.061994968594570765, -0.6320630615189302, 0.05351522240756547, -0.012958037363894776, 0.000253082817514883, 0.0003308460378640764]]	[[0.07282249203784039, -0.5708242768853239, 0.28497261313196304, -1.208995311559927, 2.8995952801033504, 4.5461947998726405e-05]]
[[-0.11752728939939794, -0.8090092877191136, 0.24046092067427555, -0.016514532865937778, 0.004102001776590356, -5.371896238665137e-05]]	[[0.07282778258051062, -0.5708261964774016, 0.28497843120734734, -1.2090733179579036, 2.899587761775688, 8.45136195214966e-05]]
[[0.14615628010748552, -0.5232362481742022, 0.004653288558156593, -0.01316021169553286, -0.003168618054953944, 0.006102667941960596]]	[[0.0728378183495018, -0.5708272190663282, 0.28496508763031386, -1.2090471488220775, 2.899571960051039, 0.00012069663165604592]]
[[-0.22708327613458218, -0.29087367963038074, 0.19770046000887492, -0.011110646035183098, 0.0071200323798057946, 0.0003637642733310559]]	[[0.07281733368561583, -0.5708330454707593, 0.28497995591406555, -1.2090166429519285, 2.8995980814658537, 0.00010298126364036103]]
[[-0.2261685463915436, -0.6757637451620464, 0.2079750165569481, -0.01897308547693027, 0.00517357260448063, 0.004033999362119194]]	[[0.07283698686866542, -0.5708352503138495, 0.28500240874944327, -1.2090788535504995, 2.899601135446616, -9.15710977205285e-06]]
[[0.08473394525371289, -0.5434866806266512, 0.04999700735884804, -0.011506710446679478, -0.000880327343334656, 0.0023678178322534787]]	[[0.07282168284242356, -0.5708255315001061, 0.28497529820096884, -1.20903430763111, 2.8995915015797213, 6.592297591291355e-05]]
[[-0.04123082341591683, -0.4462905237709742, -0.04601148478057296, -0.011531711111192226, 0.0006622975554721354, -0.005164607293160704]]	[[0.07283217456734194, -0.5708277572000487, 0.2849913764629839, -1.2089908240242209, 2.8995847461053885, 2.725368445364384e-05]]
[[-0.48894852333085304, -0.5546764508343687, 0.12404438350117748, -0.016051769289533474, 0.011898718387898796, 0.0022447624253711883]]	[[0.07281907095871983, -0.5708308590218021, 0.2849847061851663, -1.2090252090168614, 2.8995699595598063, 4.5964229132906593e-05]]
[[-0.413708044276117, -0.37125894450910923, 0.07028437586420255, -0.011821270142248505, 0.010045136916069923, 0.002812388132496634]]	[[0.07284209710768216, -0.5708229268287465, 0.28497529820096884, -1.209103439125207, 2.8995626755935264, 6.592359878304741e-05]]
[[0.025492600659784342, -0.40495028779815956, -0.14123362099028502, -0.016121452643653673, 0.00042237103810303586, 0.003736784555308176]]	[[0.07282236120592817, -0.570827309398365, 0.2849954138067446, -1.2090183783573842, 2.8995999656692644, -1.0804357698124394e-05]]
[[-0.013555276436108973, -0.12261593210781789, -0.014939144804362607, -0.008074525308777933, -0.0009726294609111769, 0.0040732403661874455]]	[[0.07282697363432368, -0.5708396053839735, 0.2850041981180652, -1.2090011137283165, 2.8996093612950093, -0.00010578074808505459]]
[[-0.5312293844200869, -0.3280784791864647, 0.0439664401658886, -0.007222267048539174, 0.01346337808095555, 0.0025620186119776024]]	[[0.07283437884848123, -0.570817962507028, 0.2849758361740436, -1.2090987470925578, 2.8995513612969805, 8.09267950743902e-05]]
[[-0.3390754289612682, -0.6817335818493488, 0.20108826633904756, -0.01570125188469335, 0.00966667558687941, 0.0043779769888937815]]	[[0.07284791496213477, -0.5708296205528811, 0.28500021864958225, 1.2090973987306048, -2.8995946550340728, 8.564422304994507e-05]]
[[-0.01523739280211113, -0.1041130869206722, -0.11855515023921653, -0.001935086144292986, 0.0021450376050366894, 0.006392301447027543]]	[[0.07282637041132557, -0.5708413906694677, 0.2849974917082478, -1.2090746799360466, 2.8995911645359085, -8.714735084938307e-05]]
[[0.16499694670272044, -0.1621721916672815, 0.0048206788319489794, -0.00698533459377064, -0.0029806642754080515, 0.00030407287019899154]]	[[0.0728364412452766, -0.5708355684560578, 0.2849920528719858, -1.2090386512208358, 2.899553592847609, -7.14615933083208e-05]]
[[-0.37423820681877823, -0.3661847607617201, 0.06827805008728988, -0.011587935028984225, 0.003656861471298494, 0.0005425553486726689]]	[[0.07281401011990782, -0.5708376979097104, 0.2849692625877939, 1.2090070042085306, -2.8996212310212526, 1.1429929000155456e-05]]
[[-0.019352992248484913, -0.3346966115437682, 0.1394765207930747, -0.015931842457037194, -0.0009693065870805644, -0.00036685728647120743]]	[[0.07281245197079744, -0.5708363073077832, 0.2849791368001792, -1.2090296298348695, 2.8995824182055623, -1.6578663883163022e-05]]
[[-0.5573208785307243, -0.4824731774041221, 0.058086524734727085, -0.02310858154832618, 0.013369871387136701, 0.007421196470095576]]	[[0.07282958215231006, -0.5708275113788512, 0.28497616653426666, -1.2090868369980097, 2.8995714344080006, -1.576935110035671e-05]]
[[-0.32810266697311363, -0.2062386256089327, 0.10187536869862304, -0.01577428567789344, 0.0030694141713378488, 0.002371349549796805]]	[[0.07284415046078518, -0.5708282904360686, 0.28496879417459026, -1.2090705394438026, 2.8995790331653604, -5.320026090751255e-05]]
[[-0.07903900507378599, 0.13669048187314484, 0.06525341364440874, -0.00488349310473752, -0.0031647436702615843, -0.0018979044845309073]]	[[0.07284228501024498, -0.5708355594105771, 0.2849884211905026, -1.2090786668248046, 2.899552025798168, -0.00014764163047019464]]
[[0.01907265575110327, -0.2654718151046932, 0.15254089206583457, -0.013215636462303285, -0.003850622282420171, 0.00018713744983735677]]	[[0.0728544655914074, -0.5708401837276028, 0.2849694374516125, -1.209126662287431, 2.899569804243604, -0.00010764690448826409]]
[[0.05511278683768317, -0.42364048126651543, -0.08221106165931338, -0.013066060840163506, 0.0008418120547609058, 0.009358953213694204]]	[[0.07282341231918354, -0.5708368876745578, 0.28498428810180426, -1.2091318668948683, 2.8995819733340715, -0.00014531792448353498]]
