[[-0.01336732768484952, 0.009485358255336163, 0.0023318998978789007, 0.00018866121979317196, 4.3635806918230894e-05, 0.00024538994775129784]]	[[0.2863133484503483, 0.3636002261184539, 0.3250084318461689, 2.897525489559937, -1.2121687457381178, 0.002243159635377268]]
[[-0.025242272651842902, 0.017911824314558945, 0.004404123879642236, 0.0003562736429489217, 8.240113118286545e-05, 0.00046337602939808546]]	[[0.2863085928202669, 0.36359468944585943, 0.3250138119117665, 2.8975365586158808, -1.2121733818550486, 0.002205340196805715]]
[[-0.05508379289811182, -0.05233753237882008, 0.012305817960018183, -0.0011934501485199053, 0.0008506219597515512, 0.0012388948761612442]]	[[0.2863057447346014, 0.36360503866732435, 0.32501815311014065, 2.897535963008523, -1.2121732566369465, 0.0021866793531101288]]
[[-0.08159032640048614, -0.11474677547635793, 0.019327454224587107, -0.002570273429355574, 0.0015330635669643343, 0.0019277263830844568]]	[[0.28631272307104516, 0.3635986352086917, 0.32503325131404986, 2.8975808823846116, -1.2121310813889334, 0.002242064020207985]]
[[-0.1145571004880665, -0.17365111236782158, 0.01637921196034242, -0.003595712249698423, 0.0020421635236681206, 0.003054238245798713]]	[[0.28630792126602933, 0.36359622808079023, 0.32501499858308003, 2.8975328648097447, -1.2122124685342357, 0.0021862173345692493]]
[[-0.11839247049935092, -0.241575432874846, 0.02094058577156006, -0.005367963666767017, 0.0020269660336904687, 0.0035661433241450336]]	[[0.2863036192404032, 0.3636075859098279, 0.3250181595540851, 2.897565490594151, -1.212103961628781, 0.0022240985577432117]]
[[-0.12541155826810998, -0.27636564419501514, 0.02546492557341806, -0.006349749092105006, 0.0024162680988022477, 0.003481769026005108]]	[[0.2862986217290269, 0.36361255961511024, 0.32501937000866654, 2.897576323062413, -1.212108944543036, 0.002204967505272156]]
[[-0.14056993955007568, -0.31553764190330447, 0.02550693560444852, -0.007254714981340492, 0.0026412193823132923, 0.0033973371773385387]]	[[0.28629117241347884, 0.36361163456766693, 0.3250190367551595, 2.897568706919705, -1.2121256228914672, 0.002186289934297868]]
[[-0.1735993176534034, -0.3223561128027702, 0.02211352527755387, -0.007438225519557917, 0.003176255340158602, 0.004203355925362755]]	[[0.286307052199041, 0.36360837794109757, 0.3250217466083363, 2.8975909520242236, -1.2121350075710802, 0.002185391823077868]]
[[-0.17833008499428116, -0.33679015997729855, 0.005037290155169349, -0.007819213906459229, 0.0034651148530492216, 0.004217305283313466]]	[[0.28629731976203165, 0.3636028518780267, 0.32500282107733985, 2.8975362286642015, -1.2121122581901365, 0.002243570058814307]]
[[-0.20239845555350433, -0.3328831186991364, -0.005709973063905278, -0.007697237252252999, 0.004050808702956513, 0.004875546832338967]]	[[0.2863095770508764, 0.3636050156668657, 0.32499541371751783, 2.8974884134085275, -1.2121329391954747, 0.002244767802836771]]
[[-0.1600160691592884, -0.36354334301259933, -0.01239371814615147, -0.008699665126655386, 0.0035285790797914083, 0.005288081858953136]]	[[0.28630195006350084, 0.36362091602353364, 0.32501816409148754, 2.897543098217671, -1.2121560246565108, 0.002205410720291704]]
[[-0.1706998234967687, -0.35129889269196124, -0.007713535725620795, -0.008821048034725228, 0.003802751792207767, 0.005408552545265845]]	[[0.286306723573428, 0.3636122428218543, 0.3250064111208162, 2.8975767923720586, -1.2121086721388974, 0.0022422617085699086]]
[[-0.15101605147706215, -0.3244359056145185, -0.013032307277689876, -0.008852037641881963, 0.0032873686323174555, 0.005043680186582551]]	[[0.2862971258679464, 0.36360884679175787, 0.3249911126907027, 2.8975544214029916, -1.2120996623247342, 0.00220556083959344]]
