[[0.040072510846191546, 0.02950160907274503, 0.0046499628930819804, 0.0006036818150705258, -0.0010758697748631892, -0.0003485326332326759]]	[[0.2863040943570079, 0.3636055268630478, 0.3249995048262089, 2.8974956541150374, -1.2121156544073997, 0.002244819692469178]]
[[0.0016095549482549355, 0.044589175753473764, 0.03609598657583608, 0.0006281514410706768, -0.0003505421663640123, 0.00034788259959981466]]	[[0.28628780239491636, 0.3636063511220234, 0.32501787263534687, 2.897572139403875, -1.2120864423699833, 0.0021679807289352033]]
[[-0.08940518369232292, 0.022839687312246074, 0.04963659663631804, 0.00018809589434473737, 0.001452010593631516, 0.0010804894270627136]]	[[0.2862934583071289, 0.36360270804911443, 0.32500366810392617, 2.89749527738682, -1.212115527020417, 0.002188727407839496]]
[[-0.10302514515825596, -0.014889670874107593, 0.06754734982543871, -0.0005611240234673252, 0.0015723788926085877, 0.001410328017724745]]	[[0.2862975161632895, 0.36360337213881033, 0.32502028910738506, 2.8975879624393417, -1.2121136453629209, 0.002241991655170054]]
[[-0.12864087864347426, -0.04821236279354349, 0.07823491966105349, -0.0012888351372774111, 0.002064628421967121, 0.0014369977536737256]]	[[0.28628804525444196, 0.3636069317315258, 0.3250207209590105, 2.897575131140072, -1.2120471297513895, 0.002168439698288912]]
[[-0.15642140210640992, -0.07101044910338106, 0.08331234991612696, -0.0019770703825902902, 0.0024549877910912004, 0.00251507819685493]]	[[0.28629265432937645, 0.3636153457836135, 0.32501815311014065, 2.8975866732844437, -1.2120520124044267, 0.0021866727464731044]]
[[-0.17449616116743588, -0.056192003085531905, 0.10230014706891616, -0.0017206957011048343, 0.0025955834296751672, 0.0025250552471657198]]	[[0.2862949178685315, 0.36360646701743504, 0.32501499858308003, 2.89756178068496, -1.2121433920238782, 0.0021862305883462293]]
[[-0.21376230893764903, -0.07094523867565136, 0.10833640008847656, -0.0021047920251255152, 0.0031098880508126266, 0.003272839461983431]]	[[0.2862918312226018, 0.36360684881600563, 0.3250126014714598, 2.8975692506200224, -1.2120644418271544, 0.0022244982561061754]]
[[-0.21579722945701654, -0.045950799761836095, 0.11054394261618736, -0.0015469986685460709, 0.0032877396148256305, 0.003256762792052084]]	[[0.2862840944010495, 0.36359850421616313, 0.3250078772957481, 2.8975766744118663, -1.2120470731221458, 0.0022432019844420103]]
[[-0.22418316583408704, -0.06280692495650474, 0.12023085828488343, -0.0018797184538620229, 0.0033654655267619047, 0.0032017013010305793]]	[[0.28630377099856896, 0.3636112397252061, 0.32501198182810903, 2.8975869800234237, -1.2121129926138632, 0.002204468861231696]]
[[-0.256647907599771, -0.07334334164162455, 0.12843436913758108, -0.0026790278455213947, 0.00443642976756726, 0.0034817068741187034]]	[[0.28629379009561673, 0.3636036170583452, 0.325019125238082, 2.897562224893893, -1.2121435573072346, 0.002186258381776077]]
[[-0.26516455293014024, -0.08229043281408187, 0.1407645437294862, -0.0037478194692394874, 0.00488734675415581, 0.0032616393265852647]]	[[0.2863005798166732, 0.36360784776586197, 0.32503973969489086, 2.8976037728057737, -1.2121406254191576, 0.0022600010393148055]]
[[-0.23550338235734797, -0.07342175634702809, 0.13669453134010226, -0.004734521732446977, 0.004307343172209474, 0.0030395434981319988]]	[[0.28630239184532513, 0.3635980677404432, 0.325001530670516, 2.8975187832570017, -1.2121252085759076, 0.0022626770522983035]]
[[-0.24142136053215071, -0.07639927516212594, 0.12340770356736955, -0.00527081248238198, 0.0046513558979555045, 0.003080766628956274]]	[[0.28629533552270625, 0.3636043216669096, 0.3250104866090575, 2.8975770364646367, -1.2121091188729518, 0.002204872038374763]]
[[-0.24292696140083583, -0.11603763674614327, 0.12863110252879711, -0.005801963355606936, 0.0046165728029807455, 0.002674358245785393]]	[[0.2863027905799182, 0.3636087989063029, 0.3250235134591034, 2.8976136177903085, -1.2121448252322966, 0.0022032638258873117]]
[[-0.2791725731775054, -0.1460182281927245, 0.1257380060627719, -0.00550489167411597, 0.005446916261520292, 0.002914429482170414]]	[[0.2863018624198013, 0.3636083343784636, 0.32499791159027414, 2.897554284878676, -1.2121607152297316, 0.002110389630168174]]
[[-0.24684878510922953, -0.1924986126461982, 0.12703994187776194, -0.00555335662015491, 0.004272359067483384, 0.002588105127574164]]	[[0.28628930560941507, 0.36361345890707186, 0.32501509959402675, 2.8976211265682097, -1.2121273005149031, 0.0021470256640166393]]
[[-0.24361276071746693, -0.22459690214218767, 0.13299968507397572, -0.0054120825114899775, 0.0038121652121867584, 0.002887786534028384]]	[[0.2863014792345254, 0.3636166180276545, 0.32501420827162664, 2.897625574103479, -1.212088945027299, 0.002222264280263294]]
[[-0.2395713281027191, -0.21688430535459519, 0.1327686645897289, -0.004745085302865138, 0.003710784149820645, 0.0029295581832694735]]	[[0.28629787519359534, 0.3636253992104907, 0.32498550965520656, 2.897578103369094, -1.212109285865403, 0.0022045760815887607]]
[[-0.256083936546714, -0.17854886673509143, 0.12825703297268642, -0.003939537601207063, 0.004235522823931864, 0.003105701866655447]]	[[0.28630626396751874, 0.36360321954207947, 0.3249918443722505, 2.8975586318947246, -1.212121321333597, 0.0022051034903061506]]
[[-0.2605873677309393, -0.1611062685722703, 0.11166202048693909, -0.004880663466615789, 0.005406383858015729, 0.0034361584549222994]]	[[0.2863106926752706, 0.36360337259787445, 0.3250002748824006, 2.897621829786253, -1.2121888083896715, 0.0021834173434415556]]
[[-0.27670087370022417, -0.13087406180168537, 0.08745922373881643, -0.005437867592485788, 0.0060215765004857594, 0.0036669689358990575]]	[[0.286294101459096, 0.363623884425702, 0.3249908149553832, 2.8976262655847074, -1.2121496004154675, 0.002239944462145206]]
